label,sms
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
ham,K..k:)how about your training process?
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Ok lor. Msg me b4 u call.
spam,FreeMsg>FAV XMAS TONES!Reply REAL
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,Ok.ok ok..then..whats ur todays plan
ham,"Almost there, see u in a sec"
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,Feel like trying kadeem again? :V
ham,No. But we'll do medical missions to nigeria
ham,:-) :-)
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,Ok set let u noe e details later...
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,K do I need a login or anything
ham,Then anything special?
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
ham,Jay's getting really impatient and belligerent
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
ham,"Sorry my roommates took forever, it ok if I come by now?"
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Jos ask if u wana meet up?
ham,aathi..where are you dear..
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
ham,"Alright omw, gotta change my order to a half8th"
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,"Aight, lemme know what's up"
ham,Mm that time you dont like fun
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
ham,I was slept that time.you there?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,When should I come over?
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921"
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
ham,"Yeah, probably here for a while"
ham,Then u drive lor.
ham,R u still working now?
ham,I cant wait to see you! How were the photos were useful? :)
ham,"alright, I'll make sure the car is back tonight"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Dude sux for snake. He got old and raiden got buff
ham,Pls speak to that customer machan.
ham,Its a part of checking IQ
ham,After completed degree. There is no use in joining finance.
ham,Ok i've sent u da latest version of da project.
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
ham,Remember to ask alex about his pizza
ham,No let me do the math. Your not good at it.
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,Well if I'm that desperate I'll just call armand again
ham,So why didnt you holla?
ham,"Yes, princess. Toledo."
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611
ham,Well then you have a great weekend!
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,Yo! Howz u? girls never rang after india. L
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,Thanks for understanding. I've been trying to tell sura that.
ham,Pls i wont belive god.not only jesus.
ham,K:)k.are you in college?
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,I want to be inside you every night...
ham,This weekend is fine (an excuse not to do too much decorating)
ham,"Customer place, i wil cal u sir."
ham,I just lov this line: \Hurt me with the truth
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,Customer place i will call you.
ham,I love to wine and dine my lady!
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,What happened in interview?
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
ham,Bugis oso near wat... 
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Ok ill tell the company
ham,Hey now am free you can call me.
ham,Then mum's repent how?
ham,I emailed yifeng my part oredi.. Can Ì_ get it fr him..
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
ham,Yes.he have good crickiting mind
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Huh so fast... Dat means u havent finished painting?
ham,Change again... It's e one next to escalator...
